Student ID,Gender,Age,Current Course,Marks,Absences,Study Hours,Career Interest Level,Career Choice,Soft Skills,Languages Spoken
1,Female,21,Science,85,2,20,8,Medical Doctor,Leadership,English
2,Male,22,Technology,78,1,15,6,Computer Science,Analytical,English
3,Female,23,Economy,92,0,18,9,Project Management,Time Management,French
4,Male,20,Arts,70,3,12,7,Education,Creativity,Chinese
5,Female,21,Literature,65,4,10,5,Law,Critical Thinking,French
6,Male,22,Science,80,2,22,8,Medical Doctor,Communication,French
7,Female,23,Technology,88,1,14,7,Computer Science,Teamwork,German
8,Male,21,Economy,95,0,25,9,Accountancy,Negotiation,Chinese
9,Female,20,Arts,72,2,16,6,Arts,Patience,German
10,Male,22,Literature,68,3,11,5,Policy,Research,German
11,Female,23,Science,78,2,19,7,Medical Doctor,Problem-solving,English
12,Male,21,Technology,85,1,17,8,Computer Science,Adaptability,Spanish
13,Female,22,Economy,92,0,18,9,Project Management,Decision-making,German
14,Male,23,Arts,70,3,12,7,Education,Empathy,German
15,Female,20,Literature,65,4,10,5,Law,Attention to Detail,French
16,Male,21,Science,80,2,22,8,Medical Doctor,Time Management,English
17,Female,22,Technology,88,1,14,7,Computer Science,Communication,Chinese
18,Male,23,Economy,95,0,25,9,Accountancy,Analytical,Spanish
19,Female,20,Arts,72,2,16,6,Arts,Leadership,Spanish
20,Male,21,Literature,68,3,11,5,Policy,Adaptability,Spanish
21,Female,23,Science,87,2,21,8,Medical Doctor,Problem-solving,English
22,Male,21,Technology,80,1,16,7,Computer Science,Research,English
23,Female,22,Economy,90,0,20,9,Project Management,Leadership,English
24,Male,23,Arts,68,3,11,6,Arts,Communication,English
25,Female,20,Literature,72,4,12,5,Law,Creativity,English
26,Male,21,Science,82,2,18,8,Medical Doctor,Teamwork,English
27,Female,22,Technology,85,1,15,7,Computer Science,Decision-making,English
28,Male,23,Economy,94,0,22,9,Accountancy,Negotiation,English
29,Female,20,Arts,70,2,17,6,Arts,Empathy,English
30,Male,22,Literature,66,3,10,5,Policy,Time Management,English
31,Female,23,Science,44,2,18,3,Arts,Time Management,English
32,Female,21,Technology,100,4,12,6,Accountancy,Teamwork,German
33,Female,23,Technology,74,3,27,3,Computer Science,Research,German
34,Male,24,Science,98,0,18,9,Accountancy,Decision-making,German
35,Female,18,Science,93,4,10,10,Arts,Adaptability,French
36,Female,18,Arts,41,2,28,4,Medical Doctor,Analytical,German
37,Male,18,Science,86,0,26,1,Arts,Teamwork,Chinese
38,Male,22,Technology,56,1,13,1,Project Management,Analytical,English
39,Female,22,Literature,97,2,14,3,Law,Research,Chinese
40,Male,21,Science,85,3,15,6,Arts,Research,English
41,Female,24,Technology,86,1,19,7,Education,Communication,Chinese
42,Male,19,Science,92,1,13,10,Accountancy,Creativity,Spanish
43,Male,23,Literature,82,5,19,1,Policy,Decision-making,Spanish
44,Female,20,Technology,69,2,14,3,Project Management,Time Management,Spanish
45,Female,21,Arts,46,4,21,1,Policy,Adaptability,English
46,Female,21,Arts,83,5,27,9,Medical Doctor,Communication,French
47,Male,24,Economy,54,4,13,2,Accountancy,Communication,French
48,Male,20,Economy,85,0,30,2,Law,Patience,German
49,Female,24,Economy,41,1,22,2,Computer Science,Patience,English
50,Male,23,Technology,48,5,20,3,Accountancy,Problem-solving,English
51,Male,19,Science,95,2,19,1,Law,Leadership,French
52,Male,24,Economy,42,4,26,1,Law,Patience,Chinese
53,Male,21,Literature,96,0,27,2,Education,Empathy,French
54,Male,18,Technology,70,5,26,5,Medical Doctor,Time Management,English
55,Female,18,Technology,70,3,22,10,Law,Teamwork,Spanish
56,Female,19,Economy,56,1,22,7,Project Management,Patience,English
57,Male,21,Economy,96,0,18,8,Computer Science,Critical Thinking,Chinese
58,Female,18,Arts,89,4,21,2,Law,Teamwork,French
59,Female,21,Technology,47,3,22,1,Computer Science,Creativity,English
60,Female,23,Literature,67,3,27,3,Policy,Teamwork,German
61,Male,21,Economy,76,2,13,2,Computer Science,Creativity,German
62,Male,22,Technology,58,4,23,1,Accountancy,Analytical,French
63,Female,19,Science,57,3,23,2,Medical Doctor,Adaptability,German
64,Male,24,Technology,50,3,15,7,Law,Creativity,Chinese
65,Male,22,Literature,83,3,17,3,Accountancy,Teamwork,German
66,Male,23,Arts,63,5,27,10,Project Management,Creativity,German
67,Female,20,Economy,48,4,23,1,Law,Problem-solving,German
68,Male,23,Economy,78,1,23,8,Computer Science,Time Management,English
69,Male,21,Science,96,3,19,5,Computer Science,Creativity,English
70,Male,19,Economy,72,5,13,1,Medical Doctor,Critical Thinking,French
71,Male,19,Arts,75,3,24,4,Policy,Problem-solving,Spanish
72,Male,19,Science,90,4,15,3,Education,Empathy,Spanish
73,Male,21,Literature,55,5,15,8,Education,Teamwork,German
74,Female,23,Literature,78,1,18,3,Accountancy,Research,English
75,Female,18,Arts,53,2,16,9,Computer Science,Adaptability,English
76,Male,23,Technology,93,3,11,1,Arts,Teamwork,Chinese
77,Female,21,Science,92,3,20,9,Education,Patience,English
78,Male,22,Technology,56,5,26,5,Computer Science,Empathy,English
79,Female,22,Science,42,4,13,1,Project Management,Patience,Chinese
80,Female,22,Arts,86,2,19,8,Computer Science,Analytical,Chinese
81,Female,18,Science,53,4,22,8,Medical Doctor,Empathy,Chinese
82,Male,18,Literature,54,5,15,2,Policy,Creativity,German
83,Female,24,Technology,50,5,17,2,Law,Time Management,Chinese
84,Female,22,Literature,46,1,11,5,Education,Analytical,Chinese
85,Male,18,Science,95,3,18,10,Arts,Analytical,French
86,Male,23,Arts,61,5,25,9,Education,Creativity,Chinese
87,Male,22,Literature,57,3,24,4,Computer Science,Adaptability,Spanish
88,Female,24,Arts,93,0,18,7,Accountancy,Patience,Spanish
89,Male,18,Literature,88,3,17,7,Education,Creativity,French
90,Male,20,Science,93,2,15,1,Computer Science,Creativity,English
91,Female,20,Technology,99,1,11,3,Accountancy,Adaptability,English
92,Female,20,Technology,45,4,10,10,Medical Doctor,Analytical,French
93,Female,21,Technology,60,2,26,9,Accountancy,Communication,German
94,Male,20,Literature,94,1,30,8,Medical Doctor,Problem-solving,German
95,Male,24,Technology,69,4,13,5,Law,Decision-making,Spanish
96,Male,23,Science,62,4,27,5,Medical Doctor,Critical Thinking,Chinese
97,Female,20,Science,50,0,17,9,Education,Patience,Chinese
98,Female,22,Arts,41,3,25,7,Arts,Creativity,German
99,Female,18,Economy,67,5,26,6,Accountancy,Leadership,French
100,Female,22,Science,46,2,22,6,Accountancy,Time Management,Spanish
101,Female,21,Economy,64,5,15,3,Accountancy,Teamwork,English
102,Male,21,Literature,56,1,12,6,Project Management,Empathy,Spanish
103,Female,18,Science,62,5,30,5,Computer Science,Problem-solving,German
104,Female,24,Literature,45,2,18,2,Medical Doctor,Teamwork,German
105,Male,18,Literature,58,1,28,4,Accountancy,Research,French
106,Female,19,Science,41,4,24,6,Arts,Patience,Spanish
107,Female,23,Science,100,3,10,9,Policy,Analytical,English
108,Male,18,Literature,95,3,23,4,Law,Analytical,German
109,Male,20,Economy,85,5,11,7,Accountancy,Critical Thinking,English
110,Female,22,Science,86,5,16,4,Arts,Communication,Chinese
111,Female,20,Technology,84,2,21,4,Policy,Communication,German
112,Male,23,Technology,97,3,25,7,Law,Communication,French
113,Female,23,Science,53,1,30,8,Law,Problem-solving,French
114,Female,18,Arts,58,4,21,5,Arts,Teamwork,Spanish
115,Male,23,Literature,52,5,27,7,Accountancy,Leadership,Spanish
116,Male,23,Literature,68,0,10,6,Law,Critical Thinking,German
117,Male,21,Economy,65,1,28,7,Project Management,Problem-solving,German
118,Male,22,Technology,61,1,28,7,Policy,Leadership,Chinese
119,Female,21,Science,79,4,25,7,Medical Doctor,Research,Spanish
120,Male,18,Economy,84,2,13,9,Education,Time Management,Spanish
121,Male,23,Science,63,3,14,10,Law,Analytical,German
122,Male,19,Arts,57,2,19,5,Arts,Time Management,German
123,Female,24,Arts,96,2,26,4,Education,Critical Thinking,French
124,Male,19,Literature,68,3,26,2,Education,Negotiation,Spanish
125,Male,22,Science,43,5,26,9,Accountancy,Teamwork,French
126,Female,23,Literature,74,2,15,9,Law,Critical Thinking,English
127,Male,19,Technology,76,4,17,2,Accountancy,Adaptability,French
128,Male,18,Science,59,0,20,6,Law,Problem-solving,English
129,Male,19,Technology,72,0,11,6,Law,Analytical,Spanish
130,Male,20,Technology,57,4,12,10,Computer Science,Leadership,English
131,Male,20,Economy,84,4,30,7,Arts,Empathy,German
132,Male,18,Arts,57,5,27,1,Law,Decision-making,English
133,Female,21,Economy,44,0,10,2,Arts,Negotiation,English
134,Female,20,Economy,70,3,27,1,Computer Science,Adaptability,English
135,Male,19,Economy,75,5,22,2,Accountancy,Decision-making,Chinese
136,Male,20,Economy,83,5,17,3,Policy,Creativity,Chinese
137,Female,23,Economy,48,2,22,2,Project Management,Leadership,Spanish
138,Female,21,Technology,54,2,11,5,Project Management,Critical Thinking,Spanish
139,Female,24,Science,63,3,27,9,Law,Creativity,English
140,Male,19,Economy,51,1,23,10,Law,Communication,German
141,Female,24,Literature,40,1,13,8,Law,Critical Thinking,Chinese
142,Male,20,Literature,43,2,18,3,Arts,Research,Spanish
143,Male,19,Arts,40,0,29,1,Arts,Communication,French
144,Female,19,Science,52,3,30,9,Policy,Leadership,Chinese
145,Female,22,Technology,88,5,25,9,Law,Leadership,English
146,Male,21,Technology,96,3,13,1,Computer Science,Critical Thinking,French
147,Male,23,Science,85,4,29,6,Computer Science,Adaptability,German
148,Male,19,Science,71,2,14,10,Accountancy,Time Management,Chinese
149,Male,20,Economy,48,0,14,7,Computer Science,Teamwork,English
150,Male,19,Literature,63,4,22,10,Arts,Patience,English
151,Female,21,Arts,84,5,30,1,Education,Adaptability,Spanish
152,Male,21,Science,48,1,20,4,Arts,Leadership,German
153,Female,24,Science,48,2,26,7,Accountancy,Critical Thinking,English
154,Male,20,Economy,82,5,28,10,Law,Time Management,English
155,Male,23,Arts,92,1,11,2,Project Management,Decision-making,German
156,Male,22,Literature,90,0,24,2,Accountancy,Adaptability,French
157,Female,22,Economy,52,5,25,7,Accountancy,Leadership,Spanish
158,Female,22,Economy,61,0,23,9,Medical Doctor,Analytical,Chinese
159,Male,23,Economy,55,5,26,9,Computer Science,Adaptability,Chinese
160,Female,24,Science,63,3,21,9,Education,Time Management,Spanish
161,Female,18,Economy,93,4,20,5,Computer Science,Communication,Chinese
162,Male,24,Economy,54,5,17,9,Policy,Patience,German
163,Male,19,Science,89,0,12,9,Project Management,Decision-making,German
164,Male,21,Arts,66,4,30,9,Law,Problem-solving,English
165,Female,20,Science,43,3,10,4,Accountancy,Leadership,English
166,Male,24,Arts,100,2,12,5,Law,Critical Thinking,Spanish
167,Male,24,Economy,84,2,20,8,Policy,Negotiation,English
168,Male,24,Literature,76,4,22,10,Policy,Creativity,Chinese
169,Male,19,Economy,51,1,29,6,Law,Leadership,English
170,Female,18,Science,49,0,13,7,Accountancy,Decision-making,German
171,Female,23,Science,81,3,15,8,Project Management,Problem-solving,German
172,Female,21,Technology,90,4,24,8,Arts,Teamwork,German
173,Male,22,Literature,95,0,26,10,Education,Time Management,Chinese
174,Male,22,Arts,88,4,16,3,Education,Analytical,English
175,Male,19,Literature,40,2,13,4,Arts,Adaptability,English
176,Female,23,Science,46,1,16,6,Medical Doctor,Analytical,French
177,Female,23,Technology,87,0,20,10,Accountancy,Negotiation,German
178,Female,24,Economy,73,5,12,4,Law,Creativity,Chinese
179,Male,21,Technology,64,2,28,3,Policy,Leadership,Chinese
180,Female,18,Technology,43,3,25,8,Arts,Decision-making,Chinese
181,Male,18,Economy,79,3,28,3,Project Management,Leadership,Spanish
182,Male,22,Literature,85,3,11,3,Accountancy,Leadership,Chinese
